name,address,tel,lat,lng,mon,tue,wed,thu,fri,sat,sun,services
New World,"Góc đường Phạm Hồng Thái và Nguyễn Thị Nghĩa, 76 Le Lai, Quận 1, Tp. Hồ Chí Minh",+842838237952,10.77139289,106.6938939,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,"24HourService, driveThru, starbucksReserve, wiFi, communityRoom, mobileOrderandPay"
Phan Xích Long,"214 -216 Phan Xích Long, Quận Phú Nhuận, Tp. Hồ Chí Minh",+842835176461,10.79761297,106.6898552,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"driveThru, wiFi, mobileOrderandPay"
Panorama,"SN-44, Tòa Nhà Panorama, 208 Trần Văn Trà, Quận 7, Tp. Hồ Chí Minh",+842854138292,10.72148222,106.7139119,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
Pandora,"1/1 Trường Chinh, Quận Tân Phú, Tp. Hồ Chí Minh",+842838126830,10.80678678,106.6344309,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,"wiFi, mobileOrderandPay"
VivoCity,"1058 Nguyễn Văn Linh, Quận 7, Tp. Hồ Chí Minh",+842837714975,10.7299209,106.7038355,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Thảo Điền,"21 Thảo Điền, Quận 2, Tp. Hồ Chí Minh",+842837442040,10.80350356,106.7376093,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,"wiFi, mobileOrderandPay"
Kumho,"39 Lê Duẩn, Quận 1, Tp. Hồ Chí Minh",+842838234990,10.7814801,106.7003697,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Nguyễn Huệ,"99 Nguyễn Huệ, Quận 1, Tp. Hồ Chí Minh",+842838210105,10.77361239,106.7039837,6:30 - 22:30,6:30 - 22:30,6:30 - 22:30,6:30 - 22:30,6:30 - 23:00,7:00 - 23:00,7:00 - 23:00,"wiFi, mobileOrderandPay"
Emart,"168 Phan Văn Trị, Quận Gò Vấp, Tp. Hồ Chí Minh",+842835880146,10.82389562,106.6930127,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,"wiFi, mobileOrderandPay"
Lakai,"98-126 Nguyễn Tri Phương, Quận 5, Tp. Hồ Chí Minh",+842839241251,10.75412054,106.6696617,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Sân bay Tân Sơn Nhất,"A2, Tầng trệt, Khu vực thương mại Nhà giữ xe Ga Quốc Nội, Sân bay Tân Sơn Nhất, 45 Trường Sơn, Tân Bình, Tp. Hồ Chí Minh",+842836209020,10.81343136,106.6630572,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,"wiFi, mobileOrderandPay"
Nguyễn Văn Trỗi,"66 Nguyễn Văn Trỗi, Quận Phú Nhuận, Tp. Hồ Chí Minh",+842838422171,10.79517847,106.6771371,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
The Vista,"Tầng trệt, TTTM The Oxygen, 628 Xa Lộ Hà Nội, Quận 2, Tp. Hồ Chí Minh",+842862814546,10.81110509,106.7529328,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,"wiFi, mobileOrderandPay"
Leman Building,"117 Nguyễn Đình Chiểu, Quận 3, Tp. Hồ Chí Minh",+842839301092,10.77801887,106.6898743,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30, 7:00 - 21:30, 7:00 - 21:30, 7:00 - 21:30, 7:00 - 21:30,"wiFi, mobileOrderandPay"
Ibis building,"2 Hồng Hà, Phường 2, Quận Tân Bình, Tp. Hồ Chí Minh",+842838486030,10.81347567,106.6661139,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,"wiFi, mobileOrderandPay"
CMT8,"241Bis Cách Mạng Tháng Tám, Quận 3, Tp. Hồ Chí Minh",+842839291221,10.77680338,106.6837443,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,"wiFi, mobileOrderandPay"
Vạn Hạnh Mall,"Vạn Hạnh Mall, 11 Sư Vạn Hạnh, Quận 10, Tp. Hồ Chí Minh",+842836365485,10.77047995,106.6700222,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Crescent Strip,"CR1-02, Crescent Residence 1, 103 Tôn Dật Tien, Quận 7, Tp. Hồ Chí Minh",+842866806191,10.72818033,106.7184276,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Estella,"Estella Place, 88 Song Hành, Phường An Phú, Quận 2, Tp. Hồ Chí Minh",+842836367424,10.80209032,106.7485472,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Riverpark,"Riverpark Premier, 31 Đặng Đức Thuật, Quận 7, Tp. Hồ Chí Minh",(028) 5411 7329,10.72530882,106.7081904,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Landmark 81,"L1-26, Tầng trệt, Landmark 81, 772 Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Tp. Hồ Chí Minh",+842836369858,10.79525289,106.7221081,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
Vincom Đồng Khởi,"Đồng Khởi, Quận 1, Tp. Hồ Chí Minh",+842839390058,10.77808953,106.7021276,8:30 - 22:00,8:30 - 22:00,8:30 - 22:00,8:30 - 22:00,8:30 - 22:00,9:30 - 22:00,9:30 - 22:00,"wiFi, mobileOrderandPay"
Gateway Thảo Điền,"Gateway Thảo Điền, 177 Xa Lộ Hà Nội, Khu Phố 1, Quận 2, Tp. Hồ Chí Minh",+842836369894,10.80373488,106.7462144,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,"wiFi, mobileOrderandPay"
Goldview,"TTTM The Gold View, 346 Bến Vân Đồn, Quận 4, Tp. Hồ Chí Minh",+842836363046,10.7571264,106.691893,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,"wiFi, mobileOrderandPay"
Sense City,"Giga Mall, 240 - 242 Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp. Hồ Chí Minh",+842836366959,10.82833221,106.7220789,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,8:30 - 21:00,"wiFi, mobileOrderandPay"
Saigon Centre,"L2-01, Tầng 2, Saigon Centre, 67 Lê Lợi, Quận 1, Tp. Hồ Chí Minh",+842836365244,10.77434722,106.7011297,8:30 - 21:30,8:30 - 21:30,8:30 - 21:30,8:30 - 21:30,8:30 - 22:00,8:30 - 22:00,8:30 - 22:00,"wiFi, mobileOrderandPay"
Happy Residence,"Nguyễn Lương Bằng, Quận 7, Tp. Hồ Chí Minh",+842873037039,10.71790854,106.72834,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,"wiFi, mobileOrderandPay"
Etown 5,"364 Cộng Hoà, Quận Tân Bình, Tp. Hồ Chí Minh",+842836201364,10.80245931,106.6413745,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,Closed,Closed,"wiFi, mobileOrderandPay"
Saigon Mia,"Saigon Mia, L1-04, Tầng 1, Đường 9A, Phường Bình Hưng, Huyện Bình Chánh, Tp. Hồ Chí Minh",+842836369125,10.73304732,106.689095,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,"wiFi, mobileOrderandPay"
Saigon Pearl,"92 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp. Hồ Chí Minh",+842836208051,10.7905899,106.7200416,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
Lotte Nam Saigon,"Lotte Nam Saigon, Quận 7, Tp. Hồ Chí Minh",+842835351368,10.74119155,106.7020108,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,"wiFi, mobileOrderandPay"
Lotte Pico,"20 Cộng Hoà, Phường 12, Quận Tân Bình, Tp. Hồ Chí Minh",+842836201392,10.80150232,106.6531375,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,"wiFi, mobileOrderandPay"
Mê Linh Point,"Mê Linh Point Tower, 02 Ngô Đức Kế, Quận 1, Tp. Hồ Chí Minh",+842835352692,10.77477393,106.7059159,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
Urban Hill,"51 Nguyễn Văn Linh, Khu phố Urban Hill, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh
",+842854117668,10.72851696,106.7118944,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,"wiFi, mobileOrderandPay"
Golden Mansion,"119 Phổ Quang, Phường 9, Quận Phú Nhuận, Tp. Hồ Chí Minh",+842835352656,10.80999862,106.6711301,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,"wiFi, mobileOrderandPay"
Thảo Điền Pearl,"12 Quốc Hương, Quận 2, Tp. Hồ Chí Minh",+842835350592,10.80139068,106.7331363,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Saigon Royal,"Lot 1.01, Saigon Royal A Tower, 34-35 Bến Vân Đồn, Phường 12, Quận 4, Tp. Hồ Chí Minh",+842835356122,10.76746347,106.7036567,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
The Emporium,"A1-01B, Tầng 1, Tòa nhà Bảo Gia, 184 Le Đại Hành, Phường 15, Quận 11, Tp. Hồ Chí Minh",+842835358128,10.76516195,106.6555186,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,"wiFi, mobileOrderandPay"
Hưng Phước,"45-47, Hưng Phước II, Phường Tân Phong, Quận 7, Tp. Hồ Chí Minh",+842854109723,10.73232656,106.7067197,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Aeon Mall Bình Tân,"TTTM Aeon Mall Bình Tân, Số 1, Đường Số 17A, Phường Bình Trị Đông B, Quận Bình Tân, Tp. Hồ Chí Minh
",+842835351675,10.74301715,106.6119096,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,"wiFi, mobileOrderandPay"
Feliz en Vista,"Số 1 Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Tp. Hồ Chí Minh",+842835353203,10.77735589,106.7557063,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
THISO,"Thiso Mall, 8-10 đường Mai Chí Thọ, P. Thủ Thiêm, Thành phố Thủ Đức, TP.HCM",(028) 3535 2581,10.772288308318066,106.72203926257012,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,
Aeon Mall Tân Phú,"TTTM Aeon Mall Tân Phú Celadon, số 30 Tân Thắng, Q. Tân Phú, Tp. Hồ Chí Minh",+842835350185,10.801899,106.6176115,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,"wiFi, mobileOrderandPay"
MIDTOWN,"Số 27, Lô M7, Đường số 15, Khu A - Đô thị mới Nam thành phố, P. Tân Phú, Quận 7, TPHCM",028 5411 7377,10.725269347542774,106.72806615767071,6:30 - 21:30 ,6:30 - 21:30 ,6:30 - 21:30 ,6:30 - 21:30 ,6:30 - 21:30 ,6:30 - 21:30 ,6:30 - 21:30 ,
Sun Avenue,"Tầng Trệt - Tháp SAV2, Số 28 Đại lộ Mai Chí Thọ, P. An Phú, TP. Thủ Đức, TPHCM.",028 3636 0083,10.784975216917399,106.74636421534146,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,
Central 2 ,"C2-SH.01, Tòa Central 2, Vinhome Central Park, số 720A, Điện Biên Phủ, Q. Bình Thạnh, TP.HCM",028 3620 3602 ,10.79161781237734,106.72231068465852,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,
Nguyễn Thị Minh Khai,"82 Nguyễn Thị Minh Khai, Phường 6, Quận 3, TP. HCM",0283 535 2364,10.782165715403236,106.69712995767156,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,
COBI,"GF-102A Tầng trệt, Tòa nhà COBI TOWER II, Số 2–4 Đường 8, P. Tân Phú, Quận 7, HCMC",(028) 5411 7350,10.73089497116725,106.72454641567461,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,
Vinhomes Grand Park Origami,"Tòa Origami S6.05, Vinhome Grand Park, 88 Phước Thiện, phường Long Bình, TP. Thủ Đức, TP.HCM",02835352759,10.844952602132867,106.8391847306829,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,
Aeon Mall Bình Dương Canary,"TTTM Aeonmall Bình Dương Canary, Số 01 Đại lộ Bình Dương, Thuận An, Bình Dương",+842743726968,10.93273271,106.7115418,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,"wiFi, mobileOrderandPay"
HIKARI,"Tầng trệt, Khu phức hợp Hikari, đường Tạo Lực 4, đường XT1A và đường NT8, Khu Đô Thị Mới, Phường Hòa Phú, Thành Phố Thủ Dầu Một, Tỉnh Bình Dương",02743801761,11.058440062028362,106.68434991165671,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,
New Horizon Bình Dương,"Chung cư New Horizon - Số 230 Đại lộ Bình Dương, phường Phú Hòa, TP. Thủ Dầu Một, tỉnh Bình Dương
",0274 3801 762,10.97728007787065,106.669693607393, 7:00 - 22:00 , 7:00 - 22:00 , 7:00 - 22:00 , 7:00 - 22:00 , 7:00 - 22:00 , 7:00 - 22:00 , 7:00 - 22:00 ,
Vinpearl Beachfront,"Tầng 1, Vinpearl Condotel Beachfront, Nha Trang",+842583822299,12.23332805,109.197593,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Nha Trang Center,"Tầng trệt, Trung Tâm Thương Mại Nha Trang, Nha Trang",+842583820088,12.24833992,109.1961452,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Vinwonders,"FB-08, Khu Công viên giải trí VinWonders, Nha Trang",+842583500066,12.21887881,109.2427341,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,8:00 - 19:00,"wiFi, mobileOrderandPay"
Beach House Sun Primavera,"FB2-03, Khu vực Nhà Hàng Zone 2 Địa Trung Hải thuộc dự án Khu Đô Thị Gateway, Phường An Thới, TP. Phú Quốc, Tỉnh Kiên Giang
",02973667179,10.032486017190129,104.0040297232927,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,9:00 - 22:00,
Bạch Đằng,"50 Bạch Đằng, Quận Hải Châu, Đà Nẵng",+842363566839,16.07348202,108.2246674,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,"wiFi, mobileOrderandPay"
Bà Nà Hills,"Bà Nà Hills, Tầng 1, Khách sạn Morin, KDL Bà Nà Hills, Đà Nẵng",+842866225693,15.99766208,107.9882594,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,"wiFi, mobileOrderandPay"
Bà Nà Main Gate,"Bà Nà Kiosk, Khu Cổng Thành, Bà Nà Hills, Đà Nẵng",+842362233336,16.02653475,108.0329263,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,9:30 - 16:00,"wiFi, mobileOrderandPay"
Vincom Ngô Quyền,"L1-11, Vincom Center Ngô Quyền, 910A Ngô Quyền, Quận Sơn Trà, Đà Nẵng",+842363929008,16.07193914,108.2298625,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,"wiFi, mobileOrderandPay"
"TRẦN HƯNG ĐẠO, HỘI AN ","Số 40 Trần Hưng Đạo, Phường Cẩm Phô, Hội An, Quảng Nam",(023) 5352 5021,15.880023031349715,108.32794522872071,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,
Trần Phú,"15A Trần Phú, Quận Ngô Quyền, Hải Phòng",+842253866886,20.85980806,106.6877088,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Văn Cao Building,"185 - 187 Văn Cao, Hải Phòng",+842258832301,20.83647042,106.701157,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
