name,address,tel,lat,lng,mon,tue,wed,thu,fri,sat,sun,services
LÊ HỒNG PHONG ,"7B Lê Hồng Phong, khu đô thị mới Ngã 5 - sân bay Cát Bi, phường Đông Khê, quận Ngô Quyền, thành phố Hải Phòng",0225 3250 002,20.8483309505872,106.70655405768498,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,
Bà Triệu,"314 Bà Triệu, Quận Hai Bà Trưng, Hà Nội
",+842439781817,21.01084353,105.8489574,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,"wiFi, mobileOrderandPay"
IPH,"Tầng 1, TTTM The Loop - số 241 Xuân Thủy, Cầu Giấy, Hà Nội",+842437954278,21.03640992,105.7818824,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
The Garden,"Tầng 1, TTTM The Garden, khu đô thị The Manor, Mễ Trì, Mỹ Đình, Hà Nội",+842433953333,21.01489075,105.7772409,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Vincom Phạm Ngọc Thạch,"2 Phạm Ngọc Thạch, Quận Đống Đa, Hà Nội",+842436374374,21.00638197,105.8315948,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Somerset West Point,"2 Tây Hồ, Quận Tây Hồ, Hà Nội",+842438526969,21.06685594,105.8260917,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,"wiFi, mobileOrderandPay"
Nhà Thờ,"Asia Tower, 6 Nhà Thờ, Quận Hoàn Kiếm, Hà Nội
",+842438325678,21.02945026,105.8501756,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,7:00 - 22:30,"wiFi, mobileOrderandPay"
Charmvit Tower,"117 Trần Duy Hưng, Quận Cầu Giấy, Hà Nội",+842439682929,21.00829527,105.7979734,6:30 - 18:00,6:30 - 18:00,6:30 - 18:00,6:30 - 18:00,6:30 - 18:00,7:00 - 12:00,Closed,"wiFi, mobileOrderandPay"
Keangnam,"Phạm Hùng, Quận Nam Từ Liêm, Hà Nội",+842432051777,21.0167041,105.7837322,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
Duy Tân,"32 Duy Tân, Quận Cầu Giấy, Hà Nội",+842436435999,21.0310056,105.7854156,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,7:00 - 21:00,"wiFi, mobileOrderandPay"
The Legend,"109 Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội
",+842473036566,20.99976293,105.801948,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Seasons Avenue,"Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội",+842466680216,20.98731186,105.7862052,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Vincom Metropolis,"TTTM Vincom Center Liễu Giai, 29 Liễu Giai, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",+842432004433,21.03138538,105.8149927,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Vincom Star City,"L1-08B, TTTM Vincom Center Trần Duy Hưng, Trần Duy Hưng, Trung Hòa, Quận Cầu Giấy, Hà Nội",+842473055884,21.00721072,105.7955775,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,8:00 - 22:00,"wiFi, mobileOrderandPay"
Sân bay Nội Bài,"Cánh B, Tầng 2, Khu Vực Cách Ly Nhà Ga T1, Cảng Hàng Không Quốc Tế Nội Bài, Hà Nội",+842435844363,21.21409002,105.8039903,5:30 - 22:00,5:30 - 22:00,5:30 - 22:00,5:30 - 22:00,5:30 - 22:00,5:30 - 22:00,5:30 - 22:00,"wiFi, mobileOrderandPay"
Vinmec Hà Nội,"BV Vinmec, Times City, 458 Minh Khai, Hà Nội
",+842436252254,20.99406015,105.8674027,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
Aeon Mall Hà Đông,"T160 161, Tầng 1, Aeon Mall Hà Đông, Dương Nội, Quận Hà Đông, Hà Nội",+842432045401,20.98898686,105.7507639,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,10:00 - 22:00,9:00 - 22:00,9:00 - 22:00,"wiFi, mobileOrderandPay"
Royal City,"SO-18, Tòa R3, Royal City, 72A Nguyễn Trãi, Quận Thanh Xuân, Hà Nội",+842466664402,21.00304169,105.814942,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Ecopark,"Công Viên Mùa Hạ, Khu đô thị Ecopark, Văn Giang, Hưng Yên",+842212200888,20.97213636,105.9292224,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,wiFi
TASCO Mall,"Gian hàng 105A, TTTM TASCO Mall, Hà Nội",+842432012790,21.05037851,105.8933838,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,"wiFi, mobileOrderandPay"
Trung Hoà,"101 Trung Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",+842432039000,21.01686611,105.7991741,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
SÂN BAY QUỐC TẾ NỘI BÀI,"Khu vực sảnh chờ (Cổng 22-23), Tầng 3 - ga Quốc Tế T2, Sân bay Nội Bài, Hà Nội",024 3587 5352,21.21891491539175,105.80412798123386,6:30 – 00:00,6:30 – 00:00,6:30 – 00:00,6:30 – 00:00,6:30 – 00:00,6:30 – 00:00,6:30 – 00:00,
Pacific Place,"R105, 83B Lý Thường Kiệt, Quận Hoàn Kiếm, Hà Nội",+842432012793,21.02509258,105.8434287,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Aeon Mall Long Biên,"TTTM Aeonmall Long Bien, Số 27 đường Cổ Linh, Long Biên, Hà Nội
",+842432012791,21.02699887,105.9006643,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
VINCOM LONG BIÊN,"Tầng L1 - TTTM Vincom Long Biên, Phường Phúc Lợi, Quận Long Biên, Hà Nội",02432013327,21.051004749815295,105.91691411534144,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
LOTTE LIỄU GIAI,"54 Liễu Giai, P. Cống Vị, Quận Ba Đình, Hà Nội",024) 3205 7024,21.031984003976493,105.8123354361542,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Nesta Hotel ,"Nesta Hotel, 268 Võ Nguyên Giáp, Bắc Mỹ Phú, Ngũ Hành Sơn, Đà Nẵng",02363227186,16.0549415945208,108.24707636192687,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
golden field,"24 Nguyễn Cơ Thạch, Nam Từ Liêm, Hà Nội",02432013401,21.03488007538389,105.76562547650614,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,
Sân bay Nội Bài - Cổng 12 ,"Tầng 2, Cổng 12, Khu vực cách ly nhà ga T1, sân bay Nội Bài, Hà Nội
",02435844448,21.215261076980596,105.80474371235404,5:30 - 21:00,5:30 - 21:00,5:30 - 21:00,5:30 - 21:00,5:30 - 21:00,5:30 - 21:00,5:30 - 21:00,
Sora Mall ,"Sora Gardens, Lô C19, Đại lộ Hùng Vương , TP. Thủ Dầu Một, Bình Dương",0274 380 1763,11.04496037290526,106.6769015,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Vinhomes Skylake,"Vinhomes Skylake S2, Phạm Hùng, Nam Từ Liêm, Hà Nội",024 3201 2244 ,21.02051897989437,105.78057157726833,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Ocean Park S2,"Tòa nhà U26 (S2.03), Vinhomes Ocean Park, Gia Lâm, Hà Nội",024 3201 3523,20.992349442508043,105.93943115396185,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,
Ocean Park Hải Âu Villa,"Lô Thương Mại HA01, Kiêu Kỵ, Gia Lâm, Hà Nội ",02466871596,20.992693401971522,105.9592168458624,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,7:00 - 22:00 ,
LOTTE WEST LAKE,"Lotte West Lake, 272 Võ Chí Công, Quận Tây Hồ, Hà Nội
",024 3201 3522,21.07604121111996,105.8125869068169,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
VINCOM MEGA MALL THẢO ĐIỀN ,"Tầng 1 - TTTM Vincom Mega Mall Thảo Điền, 161 Võ Nguyên Giáp, Thủ Đức, TP.HCM",028 3519 3001,10.803150280044813,106.74111940052104,6:30 - 22:00 ,6:30 - 22:00 ,6:30 - 22:00 ,6:30 - 22:00 ,6:30 - 22:00 ,6:30 - 22:00 ,6:30 - 22:00 ,
CII Tower,"Tầng 1, tòa nhà CII Tower - số 152 Điện Biên Phủ, Q. Bình Thạnh, TP.HCM",02835122301,10.801481729846826,106.71733985448743,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,
hùng vương plaza,"Hùng Vương Plaza, 126 Hồng Bàng, Quận 5, TP. HCM",02835358601,10.756349658043387,106.66221397724374,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
"TRẦN HƯNG ĐẠO, ĐÀ NẴNG","Tầng trệt, số 218 Trần Hưng Đạo, Quận Sơn Trà, Đà Nẵng",023.635.22053,16.05695316175783,108.23230814603362,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
NGUYỄN HỮU HUÂN ,"32-34 Nguyễn Hữu Huân, Q. Hoàn Kiếm, Hà Nội ",02432013601,21.035288994548615,105.85448739206723,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Q2 TERRACE,"Số 01.12 - 01.124 Tầng 1 và 01.124 Tầng 2, 21 Võ Trường Toản, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",028 3519 3018,10.804440445204834,106.74732114644618,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,
The Waterfront Saigon,"1-1A Ton Duc Thang, Ben Nghe Ward, District 1, HCMC
",028 3535 9856,10.780534033945974,106.70767481557311,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,
Celadon Boulevard,"Khu A5 Diamond, S.1.0.37, 3 Đường N1, Sơn Kỳ, Tân Phú, Thành phố Hồ Chí Minh",028 3535 6901,10.8034244,106.6131805,7:00 AM – 22:00,7:00 AM – 22:00,7:00 AM – 22:00,7:00 AM – 22:00,7:00 AM – 22:00,7:00 AM – 22:00,7:00 AM – 22:00,
Starbucks Noi Bai International Airport - Gate 34 35,"Khu vực sảnh chờ Cổng 34 35, Tầng 3 Ga Quốc Tế T2, Sân bay Nội Bài, Hà Nội",034 897 8928,21.222541,105.793518,,6:00 AM – 23:30,6:00 AM – 23:30,6:00 AM – 23:30,6:00 AM – 23:30,6:00 AM – 23:30,6:00 AM – 23:30,
Starbucks Sân bay Nội Bài Nội Địa Cổng 6,"Sân Bay Nội Bài Cổng Nội : Nhà ga T1, 2-D6D7-DLDM, tầng 2, sân bay Nội Bài, xã Phú Minh, huyện Sóc Sơn, tp Hà Nội",02435844329,21.2152,105.80462,5:30-22:00,5:30-22:00,5:30-22:00,5:30-22:00,5:30-22:00,5:30-22:00,5:30-22:00,
Hàng Điếu,"54 Hàng Điếu, Cửa Đông, Hoàn Kiếm, Hà Nội 12100",024 3201 3803,21.033435224525412,105.8469330460281,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Kim Long Villa,"Khu Dân Cư, Kim Long 53-55 Đ. Nguyễn Hữu Thọ, Phú Long, Nhà Bè, Thành phố Hồ Chí Minh 77000",028 3782 1068,10.721665003106091,106.70205619305065,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Waterbus Thủ Thiêm,"Lô HM1, Bến tàu Thủ Thiêm, Phường Thủ Thiêm, Thành phố Thủ Đức, TP.HCM",028 3535 0925,10.776880223356434,106.71032527728529,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 23:00,14:00 - 0:00,7:00 - 0:00,7:00 - 0:00,
Võ Thị Sáu ,"49 Đ. Võ Thị Sáu, Quyết Thắng, Thành phố Biên Hòa, Đồng Nai",025 1368 5319,10.9466523681104,106.82469897216488,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Golden Plaza,"465 Đường Hồng Bàng, Phường 14, Quận 5, Tp. Hồ Chí Minh",,10.753569130362434,106.65503072231996,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Viet Tower,"Viet Tower, 1-2 Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",024 3201 3813,21.009140466290233,105.82380207584754,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Diamond Plaza,"25 Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",024 3201 3800,21.005660229734357,105.8055126712003,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Waterbus Bach Dang,"10B Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TPHCM",028 3622 6098,10.775071664527607,106.70695017632127,7:00 - 23:00,7:00 - 23:00,7:00 - 23:00,7:00 - 23:00,7:00 - 00:00,7:00 - 00:00,7:00 - 00:00,
Starbucks Galaxy Tulips,"Tầng 2, Tòa nhà Galaxy Tulips, số 05 đường Nguyễn Thị Minh Khai, Phường 1, TP. Đà Lạt​",026 3353 2388,11.94269544403167,108.43648192171047,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,5:00 - 23:00,
Starbucks Phu Quoc Domestic Gate 5,"Cổng số 05, Cảng Hàng Không Quốc Tế, Xã Dương Tơ, Phú Quốc, Kiên Giang",029 7351 0038,10.163334997103123,103.99848173971165,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,
Vincom Hạ Long,"Lot 11-L7, Vincom Hạ Long, đường Trần Quốc Nghiễn, Phường Bạch Đằng, TP. Hạ Long, Quảng Ninh",020 3351 5000,20.95055270548475,107.08484603709657,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Vinwonders Phú Quốc,"QT-V W6-01, QT-V W6-02 Khu phố thương mại Vinwonders, Gành Dầu, Phú Quốc, Kiên Giang",0297 361 2000,10.340805949853465,103.85444859557579,7:00 - 20:00,7:00 - 20:00,7:00 - 20:00,7:00 - 20:00,7:00 - 20:00,7:00 - 20:00,7:00 - 20:00,
Starbucks Sông Hương,"Công Viên 3/2, Đường Lê Lợi, Phường Phú Hội, Tp. Huế, Tỉnh Thừa Thiên Huế (Tầng trệt, nhà hàng Sông Hương Huế)",0234 3999 029,16.46903313542606,107.59096576038876,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Starbucks Sun Plaza Sapa,"Sun Plaza, 1 Đường Cầu Mây, TT. Sa Pa, Sa Pa, Lào Cai 31786, Việt Nam",02143620001,22.33510208780016,103.8408673103971,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,
Starbucks Vincom Bắc Ninh,"Ngã 6 mặt đường Lý Thái Tổ và đường Trần Hưng Đạo, Bắc Ninh",022 2355 6029,21.17849749735412,106.07260906291776,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,
Starbucks Vincom Thanh Hoá,"27 Trần Phú, phường Lam Sơn, thành phố Thanh Hoá",023 7351 0258,19.809806796419696,105.77781454511845,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,
Starbucks Cam Ranh Nội Bài cổng 1 ,"AK1.1, Khu vực cách ly ga đi nhà ga hành khách T1, Sân Bay Quốc Tế Cam Ranh",025 8385 4012,12.009576784079659,109.21655776164303,6:30-22:00,6:30-22:00,6:30-22:00,6:30-22:00,6:30-22:00,6:30-22:00,6:30-22:00,
Starbucks Quang Trung Hà Nội Reserve,"6A Quang Trung, quận Hoàn Kiếm, Hà Nội",024 3202 0324,21.023472665279606,105.84895308370002,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,7AM-12AM,
Starbucks Reserve Bitexco,"2 Hải Triều, Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh",0355034476,10.771477235651703,106.70449221364706,7:00-00:00,7:00-00:00,7:00-00:00,7:00-00:00,7:00-00:00,7:00-00:00,7:00-00:00,
Starbucks Xuân Diệu Quy Nhơn,"160 Xuân Diệu, Trần Phú, Quy Nhơn, Bình Định, Việt Nam
",,13.76885319505547,109.23154794232765,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,
Starbucks Bưu Điện Hà Nội,"Tầng 1 toà nhà bưu điện Hà Nội, số 87 đường Đinh Tiên Hoàng, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",,21.026301853242117,105.8536316,7:00-22:00,7:00-22:00,7:00-22:00,7:00-22:00,7:00-24:00,7:00-24:00,7:00-24:00,
Starbucks Cảng Quốc Tế Hạ Long,"Cảng tàu quốc tế Hạ Long, Bãi Cháy, Hạ Long, Quảng Ninh
",,20.964657933603455,107.00087482350835,7:00-18:30,7:00-18:30,7:00-18:30,7:00-18:30,7:00-18:30,7:00-18:30,7:00-18:30,
